Task ID, Job ID, Arrival min, Arrival max, Cost min, Cost max, Deadline, Priority
0,0,0,0,1,1,249,17
0,1,0,0,1,1,249,17
0,2,0,0,1,1,249,17
0,3,0,0,1,1,249,17
0,4,0,0,1,1,249,17
1,5,0,0,1,1,21,4
1,6,0,0,1,1,21,4
1,7,0,0,1,1,21,4
1,8,0,0,1,1,21,4
1,9,0,0,1,1,21,4
2,10,0,0,1,1,13,1
2,11,0,0,1,1,13,1
2,12,0,0,1,1,13,1
2,13,0,0,1,1,13,1
2,14,0,0,1,1,13,1
3,15,0,0,1,1,2258,20
3,16,0,0,1,1,2258,20
3,17,0,0,1,1,2258,20
3,18,0,0,1,1,2258,20
3,19,0,0,1,1,2258,20
4,20,0,0,1,1,22,5
4,21,0,0,1,1,22,5
4,22,0,0,1,1,22,5
4,23,0,0,1,1,22,5
4,24,0,0,1,1,22,5
5,25,0,0,1,1,111,13
5,26,0,0,1,1,111,13
5,27,0,0,1,1,111,13
5,28,0,0,1,1,111,13
5,29,0,0,1,1,111,13
6,30,0,0,2,5,1383,19
6,31,0,0,2,4,1383,19
6,32,0,0,2,4,1383,19
6,33,0,0,1,2,1383,19
6,34,0,0,2,3,1383,19
7,35,0,0,1,1,18,2
7,36,0,0,1,1,18,2
7,37,0,0,1,1,18,2
7,38,0,0,1,1,18,2
7,39,0,0,1,1,18,2
8,40,0,0,2,5,141,15
8,41,0,0,2,4,141,15
8,42,0,0,2,4,141,15
8,43,0,0,2,5,141,15
8,44,0,0,3,6,141,15
9,45,0,0,1,1,217,16
9,46,0,0,1,1,217,16
9,47,0,0,1,1,217,16
9,48,0,0,1,1,217,16
9,49,0,0,1,1,217,16
10,50,0,0,1,1,92,10
10,51,0,0,1,1,92,10
10,52,0,0,1,1,92,10
10,53,0,0,1,1,92,10
10,54,0,0,1,1,92,10
11,55,0,0,1,1,46,8
11,56,0,0,1,1,46,8
11,57,0,0,1,1,46,8
11,58,0,0,1,1,46,8
11,59,0,0,1,1,46,8
12,60,0,0,1,1,36,6
12,61,0,0,1,1,36,6
12,62,0,0,1,1,36,6
12,63,0,0,1,1,36,6
12,64,0,0,1,1,36,6
13,65,0,0,1,1,20,3
13,66,0,0,1,1,20,3
13,67,0,0,1,1,20,3
13,68,0,0,1,1,20,3
13,69,0,0,1,1,20,3
14,70,0,0,1,1,108,12
14,71,0,0,1,1,108,12
14,72,0,0,1,1,108,12
14,73,0,0,1,1,108,12
14,74,0,0,1,1,108,12
15,75,0,0,1,1,96,11
15,76,0,0,1,1,96,11
15,77,0,0,1,1,96,11
15,78,0,0,1,1,96,11
15,79,0,0,1,1,96,11
16,80,0,0,1,1,38,7
16,81,0,0,1,1,38,7
16,82,0,0,1,1,38,7
16,83,0,0,1,1,38,7
16,84,0,0,1,1,38,7
17,85,0,0,1,1,60,9
17,86,0,0,1,1,60,9
17,87,0,0,1,1,60,9
17,88,0,0,1,1,60,9
17,89,0,0,1,1,60,9
18,90,0,0,1,1,123,14
18,91,0,0,1,1,123,14
18,92,0,0,1,1,123,14
18,93,0,0,1,1,123,14
18,94,0,0,1,1,123,14
19,95,0,0,3,6,327,18
19,96,0,0,3,6,327,18
19,97,0,0,3,6,327,18
19,98,0,0,1,1,327,18
19,99,0,0,2,4,327,18
