Task ID, Job ID, Arrival min, Arrival max, Cost min, Cost max, Deadline, Priority
0,0,0,0,2,4,456,17
0,1,0,0,2,3,456,17
0,2,0,0,1,2,456,17
0,3,0,0,2,3,456,17
0,4,0,0,2,3,456,17
1,5,0,0,1,1,93,10
1,6,0,0,1,2,93,10
1,7,0,0,1,1,93,10
1,8,0,0,1,1,93,10
1,9,0,0,1,2,93,10
2,10,0,0,1,1,80,8
2,11,0,0,1,1,80,8
2,12,0,0,1,1,80,8
2,13,0,0,1,1,80,8
2,14,0,0,1,1,80,8
3,15,0,0,1,1,50,7
3,16,0,0,1,2,50,7
3,17,0,0,1,1,50,7
3,18,0,0,1,1,50,7
3,19,0,0,1,2,50,7
4,20,0,0,1,2,9954,20
4,21,0,0,1,2,9954,20
4,22,0,0,1,2,9954,20
4,23,0,0,1,2,9954,20
4,24,0,0,1,2,9954,20
5,25,0,0,1,1,95,11
5,26,0,0,1,1,95,11
5,27,0,0,1,1,95,11
5,28,0,0,1,1,95,11
5,29,0,0,1,1,95,11
6,30,0,0,1,1,15,1
6,31,0,0,1,1,15,1
6,32,0,0,1,1,15,1
6,33,0,0,1,1,15,1
6,34,0,0,1,1,15,1
7,35,0,0,1,1,28,4
7,36,0,0,1,1,28,4
7,37,0,0,1,1,28,4
7,38,0,0,1,1,28,4
7,39,0,0,1,1,28,4
8,40,0,0,2,3,173,13
8,41,0,0,1,2,173,13
8,42,0,0,2,4,173,13
8,43,0,0,1,2,173,13
8,44,0,0,1,1,173,13
9,45,0,0,1,1,22,2
9,46,0,0,1,1,22,2
9,47,0,0,1,1,22,2
9,48,0,0,1,1,22,2
9,49,0,0,1,1,22,2
10,50,0,0,1,1,39,5
10,51,0,0,1,1,39,5
10,52,0,0,1,1,39,5
10,53,0,0,1,1,39,5
10,54,0,0,1,1,39,5
11,55,0,0,1,2,277,15
11,56,0,0,2,3,277,15
11,57,0,0,1,2,277,15
11,58,0,0,1,2,277,15
11,59,0,0,2,3,277,15
12,60,0,0,1,1,43,6
12,61,0,0,1,1,43,6
12,62,0,0,1,1,43,6
12,63,0,0,1,1,43,6
12,64,0,0,1,1,43,6
13,65,0,0,2,4,850,18
13,66,0,0,1,2,850,18
13,67,0,0,2,3,850,18
13,68,0,0,1,1,850,18
13,69,0,0,3,6,850,18
14,70,0,0,1,1,101,12
14,71,0,0,1,1,101,12
14,72,0,0,1,1,101,12
14,73,0,0,1,1,101,12
14,74,0,0,1,1,101,12
15,75,0,0,1,1,83,9
15,76,0,0,1,1,83,9
15,77,0,0,1,1,83,9
15,78,0,0,1,1,83,9
15,79,0,0,1,1,83,9
16,80,0,0,1,1,3792,19
16,81,0,0,1,1,3792,19
16,82,0,0,1,1,3792,19
16,83,0,0,1,1,3792,19
16,84,0,0,1,1,3792,19
17,85,0,0,1,2,291,16
17,86,0,0,2,4,291,16
17,87,0,0,2,3,291,16
17,88,0,0,2,3,291,16
17,89,0,0,2,4,291,16
18,90,0,0,1,1,27,3
18,91,0,0,1,1,27,3
18,92,0,0,1,1,27,3
18,93,0,0,1,1,27,3
18,94,0,0,1,1,27,3
19,95,0,0,1,2,248,14
19,96,0,0,1,1,248,14
19,97,0,0,1,1,248,14
19,98,0,0,1,2,248,14
19,99,0,0,1,1,248,14
