Predecessor TID, Predecessor JID, Successor TID, Successor JID, Sus min, Sus max
0,0,0,1,2,4
0,1,0,2,0,1
0,2,0,3,2,4
0,3,0,4,2,3
1,5,1,6,0,1
1,6,1,7,0,0
1,7,1,8,0,1
1,8,1,9,0,0
2,10,2,11,0,1
2,11,2,12,1,2
2,12,2,13,1,2
2,13,2,14,0,0
3,15,3,16,0,1
3,16,3,17,2,4
3,17,3,18,2,5
3,18,3,19,2,3
4,20,4,21,4,7
4,21,4,22,4,7
4,22,4,23,0,1
4,23,4,24,2,4
5,25,5,26,0,0
5,26,5,27,2,3
5,27,5,28,2,4
5,28,5,29,0,0
6,30,6,31,0,1
6,31,6,32,0,1
6,32,6,33,0,0
6,33,6,34,0,1
7,35,7,36,2,4
7,36,7,37,5,10
7,37,7,38,3,6
7,38,7,39,1,2
8,40,8,41,2,4
8,41,8,42,6,12
8,42,8,43,0,0
8,43,8,44,4,7
9,45,9,46,2,5
9,46,9,47,7,14
9,47,9,48,0,1
9,48,9,49,0,0
10,50,10,51,0,0
10,51,10,52,0,0
10,52,10,53,0,0
10,53,10,54,0,1
11,55,11,56,0,1
11,56,11,57,2,5
11,57,11,58,0,1
11,58,11,59,2,4
12,60,12,61,0,0
12,61,12,62,0,0
12,62,12,63,0,0
12,63,12,64,0,0
13,65,13,66,0,0
13,66,13,67,0,1
13,67,13,68,0,1
13,68,13,69,0,0
14,70,14,71,0,1
14,71,14,72,4,9
14,72,14,73,0,1
14,73,14,74,0,1
15,75,15,76,0,0
15,76,15,77,0,0
15,77,15,78,0,0
15,78,15,79,0,0
16,80,16,81,0,0
16,81,16,82,0,0
16,82,16,83,0,0
16,83,16,84,0,0
17,85,17,86,1,2
17,86,17,87,1,2
17,87,17,88,2,4
17,88,17,89,2,3
18,90,18,91,0,0
18,91,18,92,0,1
18,92,18,93,0,0
18,93,18,94,0,0
19,95,19,96,2,4
19,96,19,97,2,5
19,97,19,98,2,3
19,98,19,99,0,1
