Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 7, 17, 7, 17
0, 1, 9, 30, 9, 30
0, 2, 11, 42, 11, 42
0, 3, 15, 56, 15, 56
0, 4, 17, 67, 17, 67
1, 5, 1, 1, 1, 1
1, 6, 2, 3, 2, 3
1, 7, 3, 5, 3, 5
1, 8, 4, 7, 4, 7
1, 9, 5, 8, 5, 8
2, 10, 15, 79, 15, 79
2, 11, 26, 101, 26, 101
2, 12, 32, 114, 32, 114
2, 13, 48, 146, 48, 146
2, 14, 62, 174, 62, 174
3, 15, 2, 6, 2, 6
3, 16, 3, 7, 3, 7
3, 17, 4, 9, 4, 9
3, 18, 5, 13, 5, 13
3, 19, 7, 21, 7, 21
4, 20, 4, 7, 4, 7
4, 21, 5, 11, 5, 11
4, 22, 7, 19, 7, 19
4, 23, 9, 28, 9, 28
4, 24, 10, 37, 10, 37
5, 25, 6, 13, 6, 13
5, 26, 7, 22, 7, 22
5, 27, 8, 33, 8, 33
5, 28, 9, 40, 9, 40
5, 29, 10, 47, 10, 47
6, 30, 10, 29, 10, 29
6, 31, 19, 59, 19, 59
6, 32, 27, 82, 27, 82
6, 33, 37, 103, 37, 103
6, 34, 47, 123, 47, 123
7, 35, 8, 35, 8, 35
7, 36, 9, 50, 9, 50
7, 37, 13, 66, 13, 66
7, 38, 17, 82, 17, 82
7, 39, 20, 90, 20, 90
8, 40, 1, 1, 1, 1
8, 41, 2, 2, 2, 2
8, 42, 3, 3, 3, 3
8, 43, 4, 4, 4, 4
8, 44, 5, 6, 5, 6
9, 45, 6, 15, 6, 15
9, 46, 7, 26, 7, 26
9, 47, 8, 36, 8, 36
9, 48, 10, 45, 10, 45
9, 49, 11, 54, 11, 54
10, 50, 1, 1, 1, 1
10, 51, 2, 2, 2, 2
10, 52, 3, 3, 3, 3
10, 53, 4, 6, 4, 6
10, 54, 5, 7, 5, 7
11, 55, 1, 1, 1, 1
11, 56, 2, 3, 2, 3
11, 57, 3, 4, 3, 4
11, 58, 4, 5, 4, 5
11, 59, 5, 7, 5, 7
12, 60, 12, 47, 12, 47
12, 61, 21, 75, 21, 75
12, 62, 31, 96, 31, 96
12, 63, 34, 104, 34, 104
12, 64, 44, 123, 44, 123
13, 65, 1, 1, 1, 1
13, 66, 2, 2, 2, 2
13, 67, 3, 3, 3, 3
13, 68, 4, 5, 4, 5
13, 69, 5, 7, 5, 7
14, 70, 11, 89, 11, 89
14, 71, 18, 103, 18, 103
14, 72, 24, 115, 24, 115
14, 73, 29, 125, 29, 125
14, 74, 30, 128, 30, 128
15, 75, 9, 58, 9, 58
15, 76, 13, 76, 13, 76
15, 77, 20, 93, 20, 93
15, 78, 24, 104, 24, 104
15, 79, 28, 113, 28, 113
16, 80, 8, 22, 8, 22
16, 81, 12, 40, 12, 40
16, 82, 18, 59, 18, 59
16, 83, 24, 78, 24, 78
16, 84, 26, 86, 26, 86
17, 85, 6, 10, 6, 10
17, 86, 10, 23, 10, 23
17, 87, 11, 34, 11, 34
17, 88, 14, 46, 14, 46
17, 89, 18, 58, 18, 58
18, 90, 5, 10, 5, 10
18, 91, 6, 16, 6, 16
18, 92, 7, 24, 7, 24
18, 93, 9, 35, 9, 35
18, 94, 10, 42, 10, 42
19, 95, 2, 6, 2, 6
19, 96, 4, 8, 4, 8
19, 97, 6, 14, 6, 14
19, 98, 8, 23, 8, 23
19, 99, 11, 37, 11, 37
