Predecessor TID, Predecessor JID, Successor TID, Successor JID, Sus min, Sus max
0,0,0,1,2,3
0,1,0,2,2,4
0,2,0,3,1,2
0,3,0,4,2,3
1,5,1,6,0,1
1,6,1,7,0,0
1,7,1,8,0,0
1,8,1,9,0,0
2,10,2,11,0,0
2,11,2,12,0,1
2,12,2,13,0,0
2,13,2,14,0,0
3,15,3,16,0,0
3,16,3,17,0,0
3,17,3,18,0,0
3,18,3,19,0,0
4,20,4,21,4,7
4,21,4,22,0,0
4,22,4,23,2,4
4,23,4,24,0,1
5,25,5,26,0,1
5,26,5,27,0,0
5,27,5,28,0,0
5,28,5,29,0,0
6,30,6,31,0,1
6,31,6,32,0,0
6,32,6,33,0,0
6,33,6,34,0,1
7,35,7,36,0,0
7,36,7,37,0,0
7,37,7,38,0,1
7,38,7,39,0,1
8,40,8,41,0,0
8,41,8,42,0,1
8,42,8,43,0,0
8,43,8,44,0,0
9,45,9,46,0,0
9,46,9,47,0,0
9,47,9,48,0,1
9,48,9,49,0,1
10,50,10,51,0,0
10,51,10,52,0,0
10,52,10,53,0,0
10,53,10,54,0,0
11,55,11,56,0,1
11,56,11,57,0,0
11,57,11,58,2,5
11,58,11,59,2,4
12,60,12,61,1,2
12,61,12,62,0,0
12,62,12,63,0,1
12,63,12,64,0,0
13,65,13,66,0,0
13,66,13,67,0,0
13,67,13,68,0,0
13,68,13,69,0,0
14,70,14,71,0,0
14,71,14,72,0,0
14,72,14,73,0,0
14,73,14,74,0,1
15,75,15,76,0,1
15,76,15,77,0,1
15,77,15,78,0,0
15,78,15,79,0,1
16,80,16,81,0,1
16,81,16,82,0,0
16,82,16,83,0,0
16,83,16,84,2,3
17,85,17,86,0,0
17,86,17,87,0,0
17,87,17,88,0,0
17,88,17,89,0,0
18,90,18,91,0,0
18,91,18,92,0,0
18,92,18,93,0,0
18,93,18,94,0,1
19,95,19,96,0,0
19,96,19,97,0,0
19,97,19,98,0,0
19,98,19,99,0,0
