Predecessor TID, Predecessor JID, Successor TID, Successor JID, Sus min, Sus max
0,0,0,1,0,0
0,1,0,2,0,0
0,2,0,3,0,0
0,3,0,4,0,0
1,5,1,6,0,0
1,6,1,7,0,1
1,7,1,8,1,2
1,8,1,9,0,1
2,10,2,11,0,1
2,11,2,12,0,0
2,12,2,13,0,1
2,13,2,14,0,0
3,15,3,16,0,0
3,16,3,17,0,0
3,17,3,18,0,0
3,18,3,19,0,0
4,20,4,21,0,0
4,21,4,22,0,1
4,22,4,23,0,0
4,23,4,24,0,0
5,25,5,26,0,1
5,26,5,27,0,1
5,27,5,28,0,0
5,28,5,29,0,1
6,30,6,31,0,0
6,31,6,32,0,0
6,32,6,33,0,0
6,33,6,34,0,1
7,35,7,36,0,0
7,36,7,37,0,0
7,37,7,38,0,1
7,38,7,39,0,1
8,40,8,41,0,0
8,41,8,42,0,0
8,42,8,43,0,0
8,43,8,44,0,0
9,45,9,46,2,3
9,46,9,47,0,1
9,47,9,48,2,3
9,48,9,49,10,20
10,50,10,51,4,7
10,51,10,52,2,4
10,52,10,53,4,8
10,53,10,54,4,8
11,55,11,56,0,1
11,56,11,57,0,0
11,57,11,58,0,0
11,58,11,59,0,0
12,60,12,61,0,1
12,61,12,62,0,0
12,62,12,63,0,1
12,63,12,64,0,0
13,65,13,66,2,4
13,66,13,67,0,1
13,67,13,68,2,4
13,68,13,69,1,2
14,70,14,71,0,1
14,71,14,72,0,0
14,72,14,73,0,1
14,73,14,74,1,2
15,75,15,76,0,0
15,76,15,77,0,0
15,77,15,78,0,0
15,78,15,79,0,1
16,80,16,81,1,2
16,81,16,82,2,5
16,82,16,83,4,9
16,83,16,84,2,3
17,85,17,86,1,2
17,86,17,87,3,6
17,87,17,88,1,2
17,88,17,89,4,7
18,90,18,91,1,2
18,91,18,92,1,2
18,92,18,93,0,0
18,93,18,94,2,3
19,95,19,96,0,1
19,96,19,97,0,1
19,97,19,98,0,0
19,98,19,99,0,1
