Task ID, Job ID, Arrival min, Arrival max, Cost min, Cost max, Deadline, Priority
0,0,0,0,1,1,169,1
0,1,0,0,1,1,169,1
0,2,0,0,1,1,169,1
0,3,0,0,1,1,169,1
0,4,0,0,1,1,169,1
1,5,0,0,1,2,1198,11
1,6,0,0,1,2,1198,11
1,7,0,0,1,1,1198,11
1,8,0,0,1,2,1198,11
1,9,0,0,1,2,1198,11
2,10,0,0,1,1,5595,20
2,11,0,0,14,29,5595,20
2,12,0,0,15,30,5595,20
2,13,0,0,6,11,5595,20
2,14,0,0,8,17,5595,20
3,15,0,0,4,8,2157,14
3,16,0,0,2,4,2157,14
3,17,0,0,2,4,2157,14
3,18,0,0,5,10,2157,14
3,19,0,0,4,7,2157,14
4,20,0,0,2,3,370,3
4,21,0,0,2,5,370,3
4,22,0,0,3,6,370,3
4,23,0,0,2,3,370,3
4,24,0,0,8,15,370,3
5,25,0,0,1,1,538,8
5,26,0,0,1,1,538,8
5,27,0,0,1,1,538,8
5,28,0,0,1,1,538,8
5,29,0,0,1,1,538,8
6,30,0,0,2,3,980,10
6,31,0,0,2,4,980,10
6,32,0,0,2,5,980,10
6,33,0,0,1,1,980,10
6,34,0,0,2,4,980,10
7,35,0,0,5,10,2961,18
7,36,0,0,8,15,2961,18
7,37,0,0,6,13,2961,18
7,38,0,0,10,20,2961,18
7,39,0,0,6,11,2961,18
8,40,0,0,1,2,1663,13
8,41,0,0,1,2,1663,13
8,42,0,0,3,6,1663,13
8,43,0,0,14,28,1663,13
8,44,0,0,10,21,1663,13
9,45,0,0,17,34,2359,16
9,46,0,0,7,14,2359,16
9,47,0,0,26,51,2359,16
9,48,0,0,2,4,2359,16
9,49,0,0,2,3,2359,16
10,50,0,0,1,1,470,5
10,51,0,0,1,1,470,5
10,52,0,0,1,2,470,5
10,53,0,0,1,1,470,5
10,54,0,0,1,1,470,5
11,55,0,0,1,2,215,2
11,56,0,0,2,3,215,2
11,57,0,0,1,2,215,2
11,58,0,0,1,2,215,2
11,59,0,0,1,1,215,2
12,60,0,0,10,20,1588,12
12,61,0,0,12,25,1588,12
12,62,0,0,6,12,1588,12
12,63,0,0,4,7,1588,12
12,64,0,0,1,2,1588,12
13,65,0,0,7,14,2540,17
13,66,0,0,20,40,2540,17
13,67,0,0,1,2,2540,17
13,68,0,0,19,38,2540,17
13,69,0,0,21,42,2540,17
14,70,0,0,1,1,530,7
14,71,0,0,1,1,530,7
14,72,0,0,1,1,530,7
14,73,0,0,1,1,530,7
14,74,0,0,1,1,530,7
15,75,0,0,1,2,4106,19
15,76,0,0,2,5,4106,19
15,77,0,0,2,3,4106,19
15,78,0,0,1,2,4106,19
15,79,0,0,1,2,4106,19
16,80,0,0,1,2,461,4
16,81,0,0,3,6,461,4
16,82,0,0,2,5,461,4
16,83,0,0,4,8,461,4
16,84,0,0,1,2,461,4
17,85,0,0,18,36,480,6
17,86,0,0,2,5,480,6
17,87,0,0,12,25,480,6
17,88,0,0,6,13,480,6
17,89,0,0,1,2,480,6
18,90,0,0,16,31,2285,15
18,91,0,0,10,20,2285,15
18,92,0,0,16,32,2285,15
18,93,0,0,7,14,2285,15
18,94,0,0,4,7,2285,15
19,95,0,0,2,3,860,9
19,96,0,0,2,5,860,9
19,97,0,0,1,1,860,9
19,98,0,0,10,21,860,9
19,99,0,0,6,12,860,9
