Predecessor TID, Predecessor JID, Successor TID, Successor JID, Sus min, Sus max
0,0,0,1,0,1
0,1,0,2,0,1
0,2,0,3,0,1
0,3,0,4,0,1
1,5,1,6,2,4
1,6,1,7,2,3
1,7,1,8,0,0
1,8,1,9,1,2
2,10,2,11,16,32
2,11,2,12,6,11
2,12,2,13,18,36
2,13,2,14,4,9
3,15,3,16,1,2
3,16,3,17,4,9
3,17,3,18,6,11
3,18,3,19,6,11
4,20,4,21,2,4
4,21,4,22,2,5
4,22,4,23,4,7
4,23,4,24,8,16
5,25,5,26,0,0
5,26,5,27,0,0
5,27,5,28,0,0
5,28,5,29,0,0
6,30,6,31,0,1
6,31,6,32,2,3
6,32,6,33,5,10
6,33,6,34,2,3
7,35,7,36,10,20
7,36,7,37,4,8
7,37,7,38,16,33
7,38,7,39,4,8
8,40,8,41,8,15
8,41,8,42,6,13
8,42,8,43,11,22
8,43,8,44,4,9
9,45,9,46,1,2
9,46,9,47,22,43
9,47,9,48,12,23
9,48,9,49,19,38
10,50,10,51,0,1
10,51,10,52,0,1
10,52,10,53,1,2
10,53,10,54,1,2
11,55,11,56,1,2
11,56,11,57,2,5
11,57,11,58,0,1
11,58,11,59,1,2
12,60,12,61,10,21
12,61,12,62,9,18
12,62,12,63,2,4
12,63,12,64,12,23
13,65,13,66,20,39
13,66,13,67,26,51
13,67,13,68,22,44
13,68,13,69,1,2
14,70,14,71,0,1
14,71,14,72,1,2
14,72,14,73,0,1
14,73,14,74,0,1
15,75,15,76,1,2
15,76,15,77,2,3
15,77,15,78,2,4
15,78,15,79,2,5
16,80,16,81,3,6
16,81,16,82,0,0
16,82,16,83,4,9
16,83,16,84,4,8
17,85,17,86,15,30
17,86,17,87,7,14
17,87,17,88,6,11
17,88,17,89,13,26
18,90,18,91,18,36
18,91,18,92,18,37
18,92,18,93,15,30
18,93,18,94,0,1
19,95,19,96,6,13
19,96,19,97,4,7
19,97,19,98,6,11
19,98,19,99,6,11
