Predecessor TID, Predecessor JID, Successor TID, Successor JID, Sus min, Sus max
0,0,0,1,0,0
0,1,0,2,0,0
0,2,0,3,0,0
0,3,0,4,0,1
1,5,1,6,0,1
1,6,1,7,0,0
1,7,1,8,0,0
1,8,1,9,0,1
2,10,2,11,0,0
2,11,2,12,0,1
2,12,2,13,0,0
2,13,2,14,0,1
3,15,3,16,3,6
3,16,3,17,3,6
3,17,3,18,2,4
3,18,3,19,2,3
4,20,4,21,0,0
4,21,4,22,0,0
4,22,4,23,0,0
4,23,4,24,0,0
5,25,5,26,0,1
5,26,5,27,0,0
5,27,5,28,0,0
5,28,5,29,0,0
6,30,6,31,1,2
6,31,6,32,1,2
6,32,6,33,0,1
6,33,6,34,2,3
7,35,7,36,2,3
7,36,7,37,2,4
7,37,7,38,1,2
7,38,7,39,6,11
8,40,8,41,1,2
8,41,8,42,2,3
8,42,8,43,0,1
8,43,8,44,2,3
9,45,9,46,0,0
9,46,9,47,0,1
9,47,9,48,0,1
9,48,9,49,0,1
10,50,10,51,0,1
10,51,10,52,0,1
10,52,10,53,0,0
10,53,10,54,0,1
11,55,11,56,3,6
11,56,11,57,3,6
11,57,11,58,2,3
11,58,11,59,1,2
12,60,12,61,0,1
12,61,12,62,2,3
12,62,12,63,1,2
12,63,12,64,2,3
13,65,13,66,0,0
13,66,13,67,0,1
13,67,13,68,0,0
13,68,13,69,0,1
14,70,14,71,0,0
14,71,14,72,0,1
14,72,14,73,1,2
14,73,14,74,0,1
15,75,15,76,0,0
15,76,15,77,0,0
15,77,15,78,0,0
15,78,15,79,0,0
16,80,16,81,0,0
16,81,16,82,0,0
16,82,16,83,0,1
16,83,16,84,2,5
17,85,17,86,0,0
17,86,17,87,0,1
17,87,17,88,0,0
17,88,17,89,0,0
18,90,18,91,0,0
18,91,18,92,0,0
18,92,18,93,0,0
18,93,18,94,0,1
19,95,19,96,0,1
19,96,19,97,0,0
19,97,19,98,0,1
19,98,19,99,0,1
